;full_name;Tm;POS;GS
315;LaMelo Ball;cha;PG;1.0
316;LaMelo Ball;cha;PG;1.0
317;Lonzo Ball;chi;PG;1.0
318;Lonzo Ball;chi;PG;1.0
319;James Bouknight;cha;SG;0.0
320;Vernon Carey;cha;C;0.0
321;Gordon Hayward;cha;SF;1.0
322;Arnoldas Kulboka;cha;PF;0.0
323;Jalen McDaniels;cha;PF;1.0
324;Jaden McDaniels;min;PF;1.0
325;Kelly Oubre;cha;SG;0.0
326;Mason Plumlee;cha;C;1.0
327;Nick Richards;cha;C;0.0
328;Terry Rozier;cha;SG;1.0
329;JT Thor;cha;PF;0.0
330;PJ Washington;cha;PF;0.0
331;Duane Washington;ind;PG;0.0
332;Marvin BagleyI;sac;PF;0.0
333;Harrison Barnes;sac;SF;1.0
334;Scottie Barnes;tor;SF;1.0
335;DeAaron Fox;sac;PG;1.0
336;Tyrese Haliburton;sac;PG;1.0
337;Maurice Harkless;sac;SF;1.0
338;Buddy Hield;sac;SG;0.0
339;Richaun Holmes;sac;C;1.0
340;Louis King;sac;PF;0.0
341;Alex Len;sac;C;0.0
342;Chimezie Metu;sac;PF;0.0
343;Neemias Queta;sac;C;0.0
344;Jahmius Ramsey;sac;SG;0.0
345;Robert Woodard;sac;SF;0.0
346;Goga Bitadze;ind;C;0.0
347;Oshae Brissett;ind;SF;0.0
348;Malcolm Brogdon;ind;PG;1.0
349;Torrey Craig;ind;SF;0.0
350;Chris Duarte;ind;SG;1.0
351;Isaiah Jackson;ind;PF;1.0
352;Isaiah Jackson;ind;PF;1.0
353;Reggie Jackson;lac;PG;1.0
354;Reggie Jackson;lac;PG;1.0
355;Frank Jackson;det;PG;1.0
356;Frank Jackson;det;PG;1.0
357;Josh Jackson;det;SG;1.0
358;Josh Jackson;det;SG;1.0
359;Jaren Jackson;mem;PF;1.0
360;Jaren Jackson;mem;PF;1.0
361;DJn Jarreau;ind;F;0.0
362;Jeremy Lamb;ind;SG;0.0
363;Caris LeVert;ind;SG;1.0
364;T.J. McConnell;ind;PG;0.0
365;Domantas Sabonis;ind;PF;1.0
366;Myles Turner;ind;C;1.0
367;Brad Wanamaker;ind;PG;0.0
368;T.J. Warren;ind;SF;0.0
369;Jalen Brunson;dal;PG;0.0
370;Reggie Bullock;dal;SF;0.0
