;Key;annee;cluster
486;Devin Vassell;2022;2
487;Devon Dotson;2021;0
488;Devon Dotson;2022;4
489;Devontae Cacok;2020;4
490;Devontae Cacok;2021;0
491;Devontae Cacok;2022;0
492;Devonte Graham;2020;4
493;Devonte Graham;2021;4
494;Devonte Graham;2022;2
495;Dewayne Dedmon;2020;4
496;Dewayne Dedmon;2021;0
497;Dewayne Dedmon;2022;4
498;Dillon Brooks;2020;1
499;Dillon Brooks;2021;1
500;Dillon Brooks;2022;1
501;Domantas Sabonis;2020;1
502;Domantas Sabonis;2021;1
503;Domantas Sabonis;2022;1
504;Donovan Mitchell;2020;3
505;Donovan Mitchell;2021;3
506;Donovan Mitchell;2022;3
507;Donte DiVincenzo;2020;4
508;Donte DiVincenzo;2021;3
509;Dorian Finney-Smith;2020;3
510;Dorian Finney-Smith;2021;1
511;Dorian Finney-Smith;2022;1
512;Doug McDermott;2020;4
513;Doug McDermott;2021;1
514;Doug McDermott;2022;3
515;Draymond Green;2020;1
516;Draymond Green;2021;1
517;Draymond Green;2022;3
518;Drew Eubanks;2020;4
519;Drew Eubanks;2021;4
520;Drew Eubanks;2022;4
521;Duncan Robinson;2020;3
522;Duncan Robinson;2021;3
523;Duncan Robinson;2022;3
524;Dwayne Bacon;2020;1
525;Dwayne Bacon;2021;1
526;Dwight Howard;2020;0
527;Dwight Howard;2021;0
528;Dwight Howard;2022;0
529;Dwight Powell;2020;1
530;Dwight Powell;2021;4
531;Dwight Powell;2022;1
532;Dylan Windler;2021;4
533;Dylan Windler;2022;0
534;ETwaun Moore;2020;2
535;ETwaun Moore;2021;0
536;Ed Davis;2020;0
537;Ed Davis;2021;2
538;Ed Davis;2022;0
539;Edmond Sumner;2020;1
540;Edmond Sumner;2021;3
541;Elfrid Payton;2020;3
542;Elfrid Payton;2021;3
543;Elfrid Payton;2022;4
544;Elijah Bryant;2021;1
545;Elijah Hughes;2021;0
546;Elijah Hughes;2022;4
547;Emanuel Terry;2022;0
548;Enes Kanter;2020;4
549;Enes Kanter;2021;4
550;Enes Kanter;2022;0
551;Eric Bledsoe;2020;3
552;Eric Bledsoe;2021;2
553;Eric Bledsoe;2022;2
554;Eric Gordon;2020;1
555;Eric Gordon;2021;1
556;Eric Gordon;2022;1
557;Eric Paschall;2020;0
558;Eric Paschall;2021;0
559;Eric Paschall;2022;0
560;Ersan Ilyasova;2020;4
561;Ersan Ilyasova;2021;4
562;Eugene Omoruyi;2022;0
563;Evan Fournier;2020;3
564;Evan Fournier;2021;3
565;Evan Fournier;2022;3
566;Evan Mobley;2022;1
567;Facundo Campazzo;2021;1
568;Facundo Campazzo;2022;4
569;Frank Jackson;2020;4
570;Frank Jackson;2021;1
571;Frank Jackson;2022;4
572;Frank Kaminsky;2020;0
573;Frank Kaminsky;2021;4
574;Frank Kaminsky;2022;4
575;Franz Wagner;2022;3
576;Fred VanVleet;2020;1
577;Fred VanVleet;2021;3
