;advers;age;cluster
610;Shuai Peng;31.750855578400003;10
611;Shuai Peng;31.750855578400003;10
612;Shuai Peng;31.5400410678;10
613;Shuai Peng;31.5400410678;10
614;Shuai Peng;31.5400410678;10
615;Shuai Peng;31.5400410678;10
616;Shuai Peng;31.5400410678;10
617;Shuai Peng;31.811088295700003;10
618;Shuai Peng;31.06091718;10
619;Shuai Peng;31.06091718;10
620;Shuai Peng;31.06091718;10
621;Shuai Peng;31.06091718;10
622;Shuai Peng;31.2717316906;10
623;Shuai Peng;31.2717316906;10
624;Shuai Peng;31.2717316906;10
625;Shuai Peng;31.2717316906;10
626;Shuai Peng;31.482546201199998;10
627;Shuai Peng;31.482546201199998;10
628;Shuai Peng;31.635865845300003;10
629;Shuai Peng;31.022587269000002;10
630;Shuai Peng;31.1567419576;10
631;Shuai Peng;31.1567419576;10
632;Shuai Peng;31.1567419576;10
633;Shuai Peng;31.195071868600007;10
634;Shuai Peng;31.195071868600007;10
635;Shuai Peng;31.7316906229;10
636;Shuai Peng;31.7316906229;10
637;Shuai Peng;31.463381245700003;10
638;Shuai Peng;31.463381245700003;10
639;Shuai Peng;31.3675564682;10
640;Shuai Peng;31.6167008898;10
641;Shuai Peng;31.1184120465;10
642;Shuai Peng;31.578370978800002;10
643;Shuai Peng;31.693360711799997;10
644;Shuai Peng;31.1375770021;10
645;Shuai Peng;30.984257358;10
646;Shuai Peng;31.712525667399998;10
647;Shuai Peng;31.750855578400003;10
648;Shuai Peng;31.811088295700003;10
649;Shuai Peng;31.06091718;10
650;Shuai Peng;31.2717316906;10
651;Shuai Peng;31.3867214237;10
652;Shuai Peng;31.482546201199998;10
653;Shuai Peng;31.635865845300003;10
654;Shuai Peng;31.022587269000002;10
655;Shuai Peng;31.1567419576;10
656;Shuai Peng;31.195071868600007;10
657;Shuai Peng;31.3483915127;10
658;Shuai Peng;31.7316906229;10
659;Shuai Peng;31.463381245700003;10
660;Shuai Peng;31.3292265572;10
661;Shuai Peng;31.597535934299998;10
662;Shuai Peng;32.3832991102;10
663;Shuai Peng;32.114989733099996;10
664;Shuai Peng;32.0958247775;10
665;Shuai Peng;32.0574948665;10
666;Shuai Peng;32.3832991102;10
667;Shuai Peng;32.4791238877;10
668;Shuai Peng;32.0191649555;10
669;Shuai Peng;32.3449691992;10
670;Shuai Peng;32.459958932199996;10
671;Shuai Peng;32.3258042437;10
672;Shuai Peng;33.6865160849;10
673;Shuai Peng;33.7440109514;10
674;Shuai Peng;33.667351129400004;10
675;Shuai Peng;33.667351129400004;10
676;Shuai Peng;33.667351129400004;10
677;Shuai Peng;33.054072553000005;10
678;Shuai Peng;33.6290212183;10
679;Shuai Peng;33.6865160849;10
680;Shuai Peng;32.977412731;10
681;Shuai Peng;33.7056810404;10
682;Shuai Peng;33.7440109514;10
683;Shuai Peng;33.667351129400004;10
