;full_name;Tm;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;POS;GS;code
67;Chris Paul;pho;31.393939393939394;3.0;3.0;36.0;11.090909090909092;2.212121212121212;2.212121212121212;0.5630050281364588;PG;1;PGpho1
68;Christian Wood;hou;30.333333333333332;0.0;4.0;26.0;13.121212121212121;1.878787878787879;2.3333333333333335;0.4662314071735145;C;0;Chou0
69;Chuma Okeke;orl;22.772727272727273;3.0;1.0;23.0;7.454545454545454;1.0909090909090908;1.2727272727272727;0.16596891530241334;PF;0;PForl0
70;Clint Capela;atl;29.28125;0.0;4.0;27.0;9.25;0.59375;2.5;0.6836448467506849;C;1;Catl1
71;Coby White;chi;24.6875;3.0;1.0;21.0;9.8125;1.4375;2.3125;0.15703807485775617;PG;0;PGchi0
72;Cody Martin;cha;27.791666666666668;0.0;1.0;26.0;6.958333333333333;0.875;1.8333333333333333;0.34761257251314787;SF;0;SFcha0
73;Cody Zeller;por;13.047619047619047;3.0;2.0;29.0;3.4761904761904763;0.6666666666666666;2.142857142857143;0.5221628199483378;C;0;Cpor0
74;Cole Anthony;orl;33.4;3.0;3.0;21.0;15.7;2.85;2.65;0.34016041432899685;PG;1;PGorl1
75;Collin Sexton;cle;27.9;3.0;3.0;22.0;13.3;2.9;2.3;0.18419185957095727;PG;1;PGcle1
76;Corey Kispert;wsh;17.419354838709676;3.0;2.0;22.0;5.0;0.4838709677419355;0.9032258064516129;0.1783153867969344;SF;0;SFwsh0
77;Cory Joseph;det;22.61111111111111;3.0;4.0;30.0;6.055555555555555;1.3333333333333333;1.7777777777777777;0.2332243688475596;PG;0;PGdet0
78;DAngelo Russell;min;33.31818181818182;3.0;3.0;25.0;16.636363636363637;2.409090909090909;2.3636363636363638;0.3085632995458629;PG;1;PGmin1
79;DJ Augustin;hou;14.65;0.0;1.0;33.65;4.0;1.65;0.5;0.2315182159679768;PG;0;PGhou0
80;DJ Wilson;tor;33.0;3.0;0.0;25.0;8.0;2.0;2.0;0.7249417249417249;F;1;Ftor1
81;Dalano Banton;tor;11.55;3.0;2.0;21.7;3.65;0.9;1.25;0.16007476607627738;PG;0;PGtor0
82;Damian Lillard;por;35.61538461538461;3.0;3.0;31.0;18.884615384615383;2.9615384615384617;1.3846153846153846;0.3740238336577028;PG;1;PGpor1
83;Damion Lee;gs;20.266666666666666;2.0;1.0;28.966666666666665;6.5;0.6333333333333333;1.5;0.22108514240704866;SG;0;SGgs0
84;Daniel Gafford;wsh;21.714285714285715;3.0;3.0;23.0;5.9714285714285715;1.0;2.6;0.570215148020933;C;1;Cwsh1
85;Daniel Oturu;;19.0;;1.0;22.0;4.0;0.0;0.0;0.9035087719298244;;0;nannan0
86;Daniel Theis;hou;22.08;0.0;1.0;29.0;6.96;1.24;2.4;0.2164081132518846;C;0;Chou0
87;Danilo Gallinari;atl;23.36842105263158;0.0;1.0;33.0;8.157894736842104;0.5263157894736842;1.4210526315789473;0.31436638816949897;PF;0;PFatl0
88;Danny Green;phi;22.045454545454547;3.0;3.0;34.0;4.954545454545454;0.8181818181818182;1.8181818181818181;0.1738875409059473;SF;0;SFphi0
89;Danny Green;phi;22.045454545454547;3.0;3.0;34.0;4.954545454545454;0.8181818181818182;1.8181818181818181;0.1738875409059473;SF;0;SFphi0
90;Danny Green;phi;22.045454545454547;3.0;3.0;34.0;4.954545454545454;0.8181818181818182;1.8181818181818181;0.1738875409059473;SF;0;SFphi0
91;Danny Green;phi;22.045454545454547;3.0;3.0;34.0;4.954545454545454;0.8181818181818182;1.8181818181818181;0.1738875409059473;SF;0;SFphi0
92;Danuel House;;12.923076923076923;;1.0;28.0;3.8461538461538463;0.6923076923076923;1.1538461538461537;0.06991744585823535;;0;nannan0
93;Darius Bazley;okc;27.24;3.0;4.0;21.0;9.24;1.4;1.0;0.2915957541943152;PF;0;PFokc0
94;Darius Garland;cle;33.53125;3.0;3.0;21.0;15.09375;3.71875;1.78125;0.4160223206135269;PG;1;PGcle1
95;David Duke;bkn;9.0;0.0;0.0;22.0;2.0;0.0;1.0;0.10492122192080516;SF;0;SFbkn0
96;David Nwaba;hou;14.875;0.0;1.0;28.0;4.708333333333333;0.4166666666666667;1.2083333333333333;0.4166612725843138;SF;0;SFhou0
97;Davion Mitchell;sac;24.545454545454547;0.0;1.0;23.0;9.545454545454545;1.0;2.272727272727273;0.16578309162208826;PG;0;PGsac0
98;Davis Bertans;wsh;15.318181818181818;3.0;2.0;28.818181818181817;5.681818181818182;0.45454545454545453;1.5;0.020505082298367963;SF;0;SFwsh0
99;DayRon Sharpe;bkn;10.4;0.0;2.0;19.733333333333334;4.733333333333333;0.9333333333333333;2.1333333333333333;0.4735952559179104;C;0;Cbkn0
100;DeAaron Fox;sac;33.74193548387097;0.0;3.0;23.258064516129032;17.258064516129032;2.935483870967742;3.032258064516129;0.3610204556367657;PG;1;PGsac1
101;DeAndre Bembry;bkn;18.666666666666668;0.0;1.0;27.0;3.9393939393939394;0.6666666666666666;2.0606060606060606;0.2782038979922951;SG;0;SGbkn0
102;DeAndre Hunter;atl;27.545454545454547;0.0;4.0;23.181818181818183;10.272727272727273;1.5454545454545454;2.5454545454545454;0.1515648463115574;SF;1;SFatl1
103;DeAndre Jordan;lal;13.0;0.0;1.0;33.0;2.96;0.56;1.76;0.6508472145388979;C;0;Clal0
104;DeAnthony Melton;mem;21.846153846153847;2.0;4.0;23.0;8.423076923076923;1.5384615384615385;1.8461538461538463;0.2531937061299858;SG;0;SGmem0
105;DeMar DeRozan;chi;33.785714285714285;3.0;3.0;32.0;18.607142857142858;2.107142857142857;2.2142857142857144;0.5916079913051785;SF;1;SFchi1
106;DeMarcus Cousins;;16.3125;;1.0;31.0;6.9375;0.875;2.6875;0.3562339983347086;;0;nannan0
107;Dean Wade;cle;17.529411764705884;3.0;1.0;24.470588235294116;4.176470588235294;0.4117647058823529;1.6470588235294117;0.23602802473653817;PF;0;PFcle0
108;Deandre Ayton;pho;29.4;3.0;1.0;23.0;11.48;1.68;2.16;0.7439926416400021;C;1;Cpho1
109;Dejounte Murray;sa;33.58620689655172;0.0;3.0;25.0;17.689655172413794;2.5517241379310347;1.9310344827586208;0.6063479639449149;PG;1;PGsa1
110;Delon Wright;atl;17.387096774193548;0.0;1.0;29.0;3.2903225806451615;0.7419354838709677;0.5806451612903226;0.3677872021153556;SG;0;SGatl0
111;Deni Avdija;wsh;22.375;3.0;2.0;20.1875;5.9375;0.96875;2.34375;0.28765685907944955;SF;0;SFwsh0
112;Dennis Schroder;bos;32.8;3.0;1.0;28.0;13.4;2.28;2.56;0.27730282675277684;PG;0;PGbos0
113;Dennis Smith;por;20.41176470588235;3.0;4.0;23.647058823529413;6.588235294117647;1.588235294117647;1.6470588235294117;0.2771079478295185;PG;0;PGpor0
114;Denzel Valentine;utah;8.588235294117647;2.0;1.0;27.529411764705884;2.764705882352941;0.5294117647058824;1.0;0.198279272712165;SG;0;SGutah0
115;Derrick Favors;okc;16.0;3.0;4.0;30.0;4.923076923076923;0.19230769230769232;1.5;0.3793837646978562;C;0;Cokc0
116;Derrick Jones;chi;16.85;3.0;1.0;24.0;3.8;0.55;2.55;0.3194508433488792;SF;0;SFchi0
117;Derrick Rose;ny;25.3125;3.0;1.0;33.0;11.4375;1.375;0.75;0.3910521959079515;PG;0;PGny0
