;full_name;Tm;POS;GS
395;Tyrese Haliburton;ind;PG;1.0
396;Buddy Hield;ind;SG;1.0
397;T.J. McConnell;ind;PG;0.0
398;Ricky Rubio;ind;PG;0.0
399;Lance Stephenson;ind;G;0.0
400;Keifer Sykes;ind;G;0.0
401;Terry Taylor;ind;SG;0.0
402;Myles Turner;ind;C;0.0
403;T.J. Warren;ind;SF;0.0
404;Duane Washington;ind;PG;1.0
405;PJ Washington;cha;PF;1.0
406;Jose Alvarado;no;PG;0.0
407;Zylan Cheatham;no;F;0.0
408;Gary Clark;no;F;0.0
409;Devonte Graham;no;PG;0.0
410;Jared Harper;no;G;0.0
411;Jaxson Hayes;no;C;1.0
412;Killian Hayes;det;PG;1.0
413;Willy Hernangomez;no;C;0.0
414;Juancho Hernangomez;utah;F;0.0
415;Brandon Ingram;no;SF;1.0
416;Kira Lewis;no;PG;0.0
417;Scottie Lewis;cha;SG;0.0
418;Naji Marshall;no;SF;0.0
419;CJ McCollum;no;SG;1.0
420;Trey MurphyI;no;SG;0.0
421;Larry Nance;no;PF;0.0
422;Miye Oni;no;SG;0.0
423;Tony Snell;no;SF;0.0
424;Garrett Temple;no;SF;0.0
425;Jonas Valanciunas;no;C;1.0
426;Tyrone Wallace;no;G;0.0
427;Zion Williamson;no;PF;0.0
428;Davis Bertans;dal;SF;0.0
429;Jalen Brunson;dal;PG;1.0
430;Reggie Bullock;dal;SF;1.0
431;Trey Burke;dal;PG;0.0
432;Marquese Chriss;dal;SF;0.0
433;Spencer Dinwiddie;dal;PG;0.0
434;Luka Doncic;dal;PG;1.0
435;Dorian Finney-Smith;dal;PF;1.0
436;Tim Hardaway;dal;SF;0.0
437;Maxi Kleber;dal;PF;0.0
438;Boban Marjanovic;dal;C;0.0
439;Frank Ntilikina;dal;PG;0.0
440;Theo Pinson;dal;G;0.0
441;Charles Bassey;phi;C;0.0
442;Joel Embiid;phi;C;1.0
443;James Harden;phi;SG;1.0
444;Tobias Harris;phi;PF;1.0
445;Joe Harris;bkn;SF;1.0
446;Gary Harris;orl;SG;1.0
447;Isaiah Joe;phi;SG;0.0
448;DeAndre Jordan;phi;C;0.0
449;Furkan Korkmaz;phi;SG;0.0
450;Tyrese Maxey;phi;PG;1.0
451;Paul Millsap;phi;PF;0.0
452;Shake Milton;phi;SG;0.0
453;Georges Niang;phi;SF;0.0
454;Paul Reed;phi;SF;0.0
455;Davon Reed;den;SG;0.0
456;Jaden Springer;phi;G;0.0
457;Matisse Thybulle;phi;SG;1.0
458;Marvin BagleyI;det;PF;0.0
459;Saddiq Bey;det;SF;1.0
460;Cade Cunningham;det;PG;1.0
461;Hamidou Diallo;det;SG;0.0
462;Luka Garza;det;C;0.0
463;Jerami Grant;det;SF;1.0
464;Cory Joseph;det;PG;1.0
465;Isaiah Livers;det;PF;0.0
466;Rodney McGruder;det;G;0.0
467;Kelly Olynyk;det;PF;0.0
468;Jaysean Paige;det;G;0.0
469;Trayvon Palmer;det;G;0.0
470;Jamorko Pickett;det;PF;0.0
471;Cassius Stanley;det;G;0.0
472;Isaiah Stewart;det;C;1.0
473;DJ Stewart;sa;F;1.0
474;Derrick Walton;det;G;0.0
475;LaMarcus Aldridge;bkn;C;0.0
476;Nic Claxton;bkn;PF;0.0
477;Goran Dragic;bkn;PG;0.0
478;Andre Drummond;bkn;C;1.0
479;David Duke;bkn;SF;0.0
480;Kevin Durant;bkn;PF;1.0
481;Blake Griffin;bkn;PF;0.0
482;Kyrie Irving;bkn;PG;1.0
483;Patty Mills;bkn;PG;0.0
484;DayRon Sharpe;bkn;C;0.0
485;Ben Simmons;bkn;PG;0.0
486;Keita Bates-Diop;sa;SF;0.0
487;Devontae Cacok;sa;PF;0.0
488;Jock Landale;sa;C;0.0
489;Romeo Langford;sa;SG;0.0
490;Doug McDermott;sa;SF;0.0
491;Dejounte Murray;sa;PG;1.0
492;Jamal Murray;den;PG;1.0
493;Jakob Poeltl;sa;C;1.0
494;Joshua Primo;sa;SG;0.0
495;Josh Richardson;sa;SG;1.0
496;Devin Vassell;sa;SG;1.0
497;Joe Wieskamp;sa;SF;0.0
498;Robert Woodard;sa;SF;0.0
499;James Bouknight;cha;SG;0.0
500;Montrezl Harrell;cha;C;0.0
501;Gordon Hayward;cha;SF;0.0
502;Arnoldas Kulboka;cha;PF;0.0
503;Kelly Oubre;cha;SG;0.0
504;Mason Plumlee;cha;C;1.0
505;Nick Richards;cha;C;0.0
506;Terry Rozier;cha;SG;1.0
507;JT Thor;cha;PF;0.0
508;Deni Avdija;wsh;SF;0.0
509;Bradley Beal;wsh;SG;0.0
510;Thomas Bryant;wsh;C;0.0
511;Kentavious Caldwell-Pope;wsh;SG;1.0
512;Vernon Carey;wsh;C;0.0
513;Jaime Echenique;wsh;C;0.0
514;Daniel Gafford;wsh;C;0.0
515;Anthony Gill;wsh;PF;0.0
516;Rui Hachimura;wsh;PF;0.0
517;Corey Kispert;wsh;SF;1.0
518;Kyle Kuzma;wsh;SF;1.0
519;Raul Neto;wsh;PG;1.0
520;Kristaps Porzingis;wsh;C;1.0
521;Tomas Satoransky;wsh;SG;0.0
522;Jordan Schakel;wsh;F;0.0
523;Craig Sword;wsh;G;0.0
524;Isaiah Todd;wsh;PF;0.0
525;Brad Wanamaker;wsh;PG;0.0
526;Tremont Waters;wsh;G;0.0
527;Cassius Winston;wsh;PG;0.0
528;Carmelo Anthony;lal;PF;1.0
529;Cole Anthony;orl;PG;1.0
530;Trevor Ariza;lal;SF;0.0
531;DJ Augustin;lal;G;0.0
532;Kent Bazemore;lal;SF;0.0
533;Wayne Ellington;lal;SG;0.0
534;Wenyen Gabriel;lal;F;0.0
535;Talen Horton-Tucker;lal;SG;0.0
536;Dwight Howard;lal;C;1.0
537;Markus Howard;den;PG;1.0
538;LeBron James;lal;SF;1.0
539;Malik Monk;lal;SG;1.0
540;Kendrick Nunn;lal;G;0.0
541;Austin Reaves;lal;SG;1.0
542;Russell Westbrook;lal;PG;1.0
543;Will Barton;den;SF;1.0
544;Facundo Campazzo;den;PG;0.0
545;Vlatko Cancar;den;SF;0.0
546;DeMarcus Cousins;den;C;0.0
547;Bryn Forbes;den;SG;0.0
548;Bones Hyland;den;PG;0.0
549;Nikola Jokic;den;C;1.0
550;Zeke Nnaji;den;PF;0.0
551;Austin Rivers;den;SG;0.0
552;Mo Bamba;orl;C;1.0
553;Bol Bol;orl;C;0.0
554;Ignas Brazdeikis;orl;SF;0.0
555;Markelle Fultz;orl;PG;0.0
556;Freddie Gillespie;orl;SF;0.0
557;Hassani Gravett;orl;PG;0.0
558;R.J. Hampton;orl;PG;0.0
559;Jonathan Isaac;orl;PF;0.0
560;Mychal Mulder;orl;G;0.0
561;Chuma Okeke;orl;PF;0.0
562;Terrence Ross;orl;SG;0.0
563;Admiral Schofield;orl;SF;0.0
564;Jalen Suggs;orl;SG;1.0
565;Franz Wagner;orl;SF;1.0
566;Moritz Wagner;orl;C;1.0
567;Tim Frazier;cle;PG;0.0
568;Darius Garland;cle;PG;1.0
569;Brandon Goodwin;cle;G;0.0
570;Caris LeVert;cle;SG;0.0
571;Kevin Love;cle;PF;0.0
572;Lauri Markkanen;cle;PF;1.0
573;Evan Mobley;cle;C;1.0
574;RJ Nembhard;cle;SG;0.0
575;Isaac Okoro;cle;SF;1.0
576;Cedi Osman;cle;SF;0.0
577;Rajon Rondo;cle;PG;0.0
578;Collin Sexton;cle;PG;0.0
579;Lamar Stevens;cle;F;0.0
580;Dean Wade;cle;PF;1.0
581;Dylan Windler;cle;SG;0.0
582;Nickeil Alexander-Walker;utah;SG;0.0
583;Udoka Azubuike;utah;C;0.0
584;Jordan Clarkson;utah;PG;0.0
585;Mike Conley;utah;PG;1.0
586;Trent Forrest;utah;SG;0.0
587;Rudy Gay;utah;SF;0.0
588;Rudy Gobert;utah;C;1.0
589;Danuel House;utah;SF;0.0
590;Royce ONeale;utah;PF;1.0
591;Eric Paschall;utah;PF;0.0
592;Norvel Pelle;utah;PF;0.0
593;Xavier Sneed;utah;F;0.0
594;Hassan Whiteside;utah;C;0.0
